"","OR","po.","p1.","p.o","p.1","f00","f01","f10","f11","true r","r","true D'","D'","true Q","Q","true Y","Y","true HS","HS"
"13",5,0.625,0.375,0.375,0.625,0.3125,0.3125,0.0625,0.3125,0.333333333333333,95.6,0.555555555555556,95,0.666666666666667,97,0.381966011250105,97,0.281525548998107,93.5
"14",5,0.5,0.5,0.5,0.5,0.345491502812526,0.154508497187474,0.154508497187474,0.345491502812526,0.381966011250105,96.1,0.381966011250105,98.4,0.666666666666667,96.3,0.381966011250105,96.3,0.381966011250105,95.8
"15",5,0.703449847472629,0.296550152527371,0.401149949157543,0.598850050842457,0.351724923736314,0.351724923736314,0.0494250254212286,0.247125127106143,0.310621830677359,94.5,0.584527763205045,95.7,0.666666666666667,95.6,0.381966011250105,95.6,0.212709173112308,89.5
"16",4.99999999999999,0.6,0.4,0.4,0.6,0.323960135530193,0.276039864469807,0.0760398644698074,0.323960135530192,0.349833898042469,96.4,0.524750847063704,96.2,0.666666666666667,97.1,0.381966011250105,97.1,0.318587783015882,94.3
"17",4.99999999999999,0.6,0.4,0.6,0.4,0.45,0.15,0.15,0.25,0.375,94.5,0.375,97,0.666666666666666,95.2,0.381966011250105,95.2,0.304973037967785,91.1
"18",5,0.1,0.9,0.2,0.8,0.05,0.05,0.15,0.75,0.25,94.8,0.375,97.2,0.666666666666666,98,0.381966011250105,98,9.94408923407856e-09,63
"19",10,0.645161290322581,0.354838709677419,0.354838709677419,0.645161290322581,0.32258064516129,0.32258064516129,0.032258064516129,0.32258064516129,0.409090909090909,95.3,0.743801652892562,90.7,0.818181818181818,92.1,0.519493853295916,92.1,0.440679593491908,88.4
"20",10,0.5,0.5,0.5,0.5,0.379873463323979,0.120126536676021,0.120126536676021,0.379873463323979,0.519493853295916,95.4,0.519493853295916,98.5,0.818181818181818,95.8,0.519493853295916,95.8,0.519493853295916,95.9
"21",10,0.721274348989881,0.278725651010119,0.385975870041315,0.614024129958685,0.360637174494941,0.360637174494941,0.0253386955463744,0.253386955463744,0.376778180873961,94.3,0.764469496760614,87.8,0.818181818181819,88.8,0.519493853295916,88.8,0.379413126250017,84.7
"22",9.99999999999998,0.6,0.4,0.4,0.6,0.350676789837936,0.249323210162064,0.0493232101620643,0.350676789837936,0.461153290991399,96.2,0.691729936487098,96.4,0.818181818181818,96.9,0.519493853295915,96.9,0.489958938220723,95.1
"23",9.99999999999997,0.6,0.4,0.6,0.4,0.483064725597111,0.116935274402889,0.116935274402889,0.283064725597111,0.512769689987962,94.1,0.512769689987962,97.6,0.818181818181818,94.9,0.519493853295915,94.9,0.451006542868376,93.3
"24",9.99999999999999,0.1,0.9,0.2,0.8,0.0640251199682556,0.0359748800317444,0.135974880031744,0.764025119968256,0.366875999735463,95.1,0.550313999603195,93.8,0.818181818181818,96.3,0.519493853295915,96.3,4.63835862493664e-05,69.4
"25",20,0.655737704918033,0.344262295081967,0.344262295081967,0.655737704918033,0.327868852459016,0.327868852459016,0.0163934426229508,0.327868852459016,0.452380952380952,96.2,0.861678004535147,74.6,0.904761904761905,76.3,0.634512004736886,76.3,0.627091660877676,75.6
"26",20,0.5,0.5,0.5,0.5,0.408628001184222,0.0913719988157784,0.0913719988157784,0.408628001184222,0.634512004736886,95.6,0.634512004736886,99,0.904761904761905,95.9,0.634512004736886,95.9,0.634512004736886,96
"27",20,0.730529683610175,0.269470316389825,0.378096761633174,0.621903238366826,0.365264841805087,0.365264841805087,0.0128319198280869,0.256638396561738,0.413919438632922,95.8,0.874055923109843,66.8,0.904761904761904,69.4,0.634512004736886,69.4,0.585875126788594,73.7
"28",20,0.6,0.4,0.4,0.6,0.370185295008512,0.229814704991488,0.0298147049914876,0.370185295008512,0.542438729202135,95.7,0.813658093803202,90.4,0.904761904761905,91.8,0.634512004736886,91.8,0.650483344211782,90.4
"29",19.9999999999998,0.6,0.4,0.6,0.4,0.510885725265993,0.0891142747340072,0.0891142747340072,0.310885725265993,0.628690521941637,93.9,0.628690521941637,99.3,0.904761904761904,95.8,0.634512004736885,95.8,0.579656924091809,94.6
"30",20,0.1,0.9,0.2,0.8,0.076142808891188,0.023857191108812,0.123857191108812,0.776142808891188,0.4678567407599,95.7,0.70178511113985,86.6,0.904761904761905,89.3,0.634512004736886,89.3,0.00460608750703576,71.6
"31",50,0.662251655629139,0.337748344370861,0.337748344370861,0.662251655629139,0.33112582781457,0.33112582781457,0.00662251655629139,0.33112582781457,0.480392156862745,94.7,0.941945405613226,68.1,0.96078431372549,85.4,0.752201313801409,85.4,0.820773136324617,83
"32",50,0.5,0.5,0.5,0.5,0.438050328450352,0.0619496715496477,0.0619496715496477,0.438050328450352,0.752201313801409,95.4,0.752201313801409,99,0.96078431372549,96.1,0.752201313801409,96.1,0.75220131380141,96.1
"33",50,0.736197782161159,0.263802217838841,0.373271483587224,0.626728516412776,0.36809889108058,0.36809889108058,0.00517259250664394,0.258629625332197,0.437703729988785,95.3,0.947470289053911,86.7,0.960784313725491,91.3,0.752201313801409,91.3,0.802796913865221,89
"34",49.9999999999999,0.6,0.4,0.4,0.6,0.38606607081024,0.21393392918976,0.0139339291897596,0.386066070810241,0.608608628376002,95.3,0.912912942564002,69.4,0.96078431372549,72.1,0.752201313801409,72.1,0.814272814507733,70.1
"35",50.0000000000007,0.6,0.4,0.6,0.4,0.53947867979117,0.0605213202088301,0.0605213202088301,0.33947867979117,0.747827832463208,93.9,0.747827832463208,99.2,0.960784313725491,95.9,0.752201313801411,95.9,0.714758531047681,96.3
"36",49.9999999999999,0.1,0.9,0.2,0.8,0.0876976370469775,0.0123023629530225,0.112302362953023,0.787697637046977,0.564146975391479,95.2,0.846220463087218,71.9,0.96078431372549,81.2,0.752201313801409,81.2,0.0941363001432815,75.8
"37",100,0.664451827242525,0.335548172757475,0.335548172757475,0.664451827242525,0.332225913621262,0.332225913621262,0.00332225913621263,0.332225913621262,0.49009900990099,94.9,0.970493088912851,34.4,0.98019801980198,78.1,0.818181818181818,78.1,0.90418941198214,83.9
"38",100,0.5,0.5,0.5,0.5,0.454545454545455,0.0454545454545455,0.0454545454545455,0.454545454545455,0.818181818181818,95,0.818181818181818,96.9,0.98019801980198,94,0.818181818181818,94,0.818181818181818,93.9
"39",100,0.738106744869968,0.261893255130032,0.371646374961024,0.628353625038976,0.369053372434984,0.369053372434984,0.00259300252603992,0.259300252603992,0.445901112571336,93.4,0.973359110256226,20.5,0.98019801980198,52.3,0.818181818181818,52.3,0.895395955773645,67.7
"40",99.9999999999997,0.6,0.4,0.4,0.6,0.392570416912525,0.207429583087475,0.00742958308747521,0.392570416912525,0.635710070468853,94.5,0.95356510570328,51.1,0.98019801980198,82.9,0.818181818181818,82.9,0.892882825269167,70.4
"41",100.000000000001,0.6,0.4,0.6,0.4,0.555555555555556,0.0444444444444442,0.0444444444444442,0.355555555555556,0.814814814814816,94.5,0.814814814814816,97.4,0.98019801980198,93.6,0.818181818181819,93.6,0.791168310742634,94.9
"42",99.9999999999998,0.1,0.9,0.2,0.8,0.0930937546967584,0.00690624530324165,0.106906245303242,0.793093754696758,0.609114622472986,94.8,0.913671933709479,79.4,0.98019801980198,91.2,0.818181818181818,91.2,0.281243358748671,75.3
"43",1,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0,95.2,0,95.4,0,95.2,0,95.2,0,95.8
"44",1,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0,95.2,0,95.4,0,95.2,0,95.2,0,95.8
"45",1,0.587333879727506,0.412666120272494,0.5,0.5,0.293666939863753,0.293666939863753,0.206333060136247,0.206333060136247,2.25511293307845e-16,94.7,2.69036630361622e-16,94.9,4.58064211256537e-16,94.7,0,94.7,0,97.4
"46",1,0.6,0.4,0.4,0.6,0.24,0.36,0.16,0.24,0,94.3,0,94.9,0,94.4,-5.78241158658936e-17,94.4,-3.10179424794511e-21,99.5
"47",1,0.6,0.4,0.6,0.4,0.36,0.24,0.24,0.16,0,93.9,0,94.1,0,94,5.78241158658936e-17,94,0,98.7
"48",1,0.1,0.9,0.2,0.8,0.02,0.08,0.18,0.72,-2.89120579329468e-17,94.7,-1.73472347597681e-16,96.9,-1.20466908053945e-16,96.5,-5.78241158658936e-17,96.5,0,100
"49",2,0.571428571428571,0.428571428571429,0.428571428571429,0.571428571428571,0.285714285714286,0.285714285714286,0.142857142857143,0.285714285714286,0.166666666666667,94.2,0.222222222222222,94.6,0.333333333333333,94.2,0.17157287525381,94.2,0.138734684854279,93.4
"50",2,0.5,0.5,0.5,0.5,0.292893218813452,0.207106781186547,0.207106781186547,0.292893218813452,0.17157287525381,94.8,0.17157287525381,95.2,0.333333333333334,94.8,0.17157287525381,94.8,0.17157287525381,94.5
"51",2,0.654897368819341,0.345102631180659,0.442482894803224,0.557517105196776,0.327448684409671,0.327448684409671,0.115034210393553,0.230068420787106,0.159526253575339,94.3,0.246675211068735,94.9,0.333333333333333,94.5,0.17157287525381,94.5,0.090640012040323,92.2
"52",2,0.6,0.4,0.4,0.6,0.278889744907202,0.321110255092798,0.121110255092798,0.278889744907202,0.162040603780009,95.2,0.243060905670013,95.3,0.333333333333333,94.9,0.17157287525381,94.9,0.110223411045934,92.5
"53",2,0.6,0.4,0.6,0.4,0.4,0.2,0.2,0.2,0.166666666666666,94.2,0.166666666666666,95,0.333333333333333,94.2,0.17157287525381,94.2,0.109504629084079,92.7
"54",2,0.1,0.9,0.2,0.8,0.0315341561573509,0.0684658438426491,0.168465843842649,0.731534156157351,0.0961179679779241,94.5,0.144176951966886,98.5,0.333333333333333,95.5,0.171572875253809,95.5,4.81661278198372e-19,57.5
"55",5,0.625,0.375,0.375,0.625,0.3125,0.3125,0.0625,0.3125,0.333333333333333,95.8,0.555555555555556,95,0.666666666666667,95.1,0.381966011250105,95.1,0.281525548998107,94.7
"56",5,0.5,0.5,0.5,0.5,0.345491502812526,0.154508497187474,0.154508497187474,0.345491502812526,0.381966011250105,94,0.381966011250105,95,0.666666666666667,94,0.381966011250105,94,0.381966011250105,94.1
"57",5,0.703449847472629,0.296550152527371,0.401149949157543,0.598850050842457,0.351724923736314,0.351724923736314,0.0494250254212286,0.247125127106143,0.310621830677359,93.9,0.584527763205045,94.8,0.666666666666667,94.5,0.381966011250105,94.5,0.212709173112308,92.2
"58",4.99999999999999,0.6,0.4,0.4,0.6,0.323960135530193,0.276039864469807,0.0760398644698074,0.323960135530192,0.349833898042469,95.2,0.524750847063704,94.4,0.666666666666667,95.2,0.381966011250105,95.2,0.318587783015882,95.2
"59",4.99999999999999,0.6,0.4,0.6,0.4,0.45,0.15,0.15,0.25,0.375,93.4,0.375,94.4,0.666666666666666,93.3,0.381966011250105,93.3,0.304973037967785,94.3
"60",5,0.1,0.9,0.2,0.8,0.05,0.05,0.15,0.75,0.25,92.7,0.375,93.5,0.666666666666666,93.7,0.381966011250105,93.7,9.94408923407856e-09,63.2
"61",10,0.645161290322581,0.354838709677419,0.354838709677419,0.645161290322581,0.32258064516129,0.32258064516129,0.032258064516129,0.32258064516129,0.409090909090909,94.8,0.743801652892562,94.2,0.818181818181818,94.6,0.519493853295916,94.6,0.440679593491908,94.7
"62",10,0.5,0.5,0.5,0.5,0.379873463323979,0.120126536676021,0.120126536676021,0.379873463323979,0.519493853295916,93.9,0.519493853295916,96.3,0.818181818181818,94.2,0.519493853295916,94.2,0.519493853295916,94
"63",10,0.721274348989881,0.278725651010119,0.385975870041315,0.614024129958685,0.360637174494941,0.360637174494941,0.0253386955463744,0.253386955463744,0.376778180873961,95,0.764469496760614,95.3,0.818181818181819,95.2,0.519493853295916,95.2,0.379413126250017,94.4
"64",9.99999999999998,0.6,0.4,0.4,0.6,0.350676789837936,0.249323210162064,0.0493232101620643,0.350676789837936,0.461153290991399,93.8,0.691729936487098,95.5,0.818181818181818,95.3,0.519493853295915,95.3,0.489958938220723,94.5
"65",9.99999999999997,0.6,0.4,0.6,0.4,0.483064725597111,0.116935274402889,0.116935274402889,0.283064725597111,0.512769689987962,95.7,0.512769689987962,96.6,0.818181818181818,95.9,0.519493853295915,95.9,0.451006542868376,95.7
"66",9.99999999999999,0.1,0.9,0.2,0.8,0.0640251199682556,0.0359748800317444,0.135974880031744,0.764025119968256,0.366875999735463,95.7,0.550313999603195,95.1,0.818181818181818,96.1,0.519493853295915,96.1,4.63835862493664e-05,70.7
"67",20,0.655737704918033,0.344262295081967,0.344262295081967,0.655737704918033,0.327868852459016,0.327868852459016,0.0163934426229508,0.327868852459016,0.452380952380952,95.9,0.861678004535147,94.6,0.904761904761905,95.3,0.634512004736886,95.3,0.627091660877676,94.5
"68",20,0.5,0.5,0.5,0.5,0.408628001184222,0.0913719988157784,0.0913719988157784,0.408628001184222,0.634512004736886,94.1,0.634512004736886,96.3,0.904761904761905,94,0.634512004736886,94,0.634512004736886,94.6
"69",20,0.730529683610175,0.269470316389825,0.378096761633174,0.621903238366826,0.365264841805087,0.365264841805087,0.0128319198280869,0.256638396561738,0.413919438632922,95.4,0.874055923109843,95.1,0.904761904761904,95.7,0.634512004736886,95.7,0.585875126788594,94.9
"70",20,0.6,0.4,0.4,0.6,0.370185295008512,0.229814704991488,0.0298147049914876,0.370185295008512,0.542438729202135,94.2,0.813658093803202,94.2,0.904761904761905,94.8,0.634512004736886,94.8,0.650483344211782,94.4
"71",19.9999999999998,0.6,0.4,0.6,0.4,0.510885725265993,0.0891142747340072,0.0891142747340072,0.310885725265993,0.628690521941637,94.4,0.628690521941637,96.8,0.904761904761904,94.7,0.634512004736885,94.7,0.579656924091809,94.8
"72",20,0.1,0.9,0.2,0.8,0.076142808891188,0.023857191108812,0.123857191108812,0.776142808891188,0.4678567407599,97.3,0.70178511113985,95.5,0.904761904761905,96,0.634512004736886,96,0.00460608750703576,79.1
"73",50,0.662251655629139,0.337748344370861,0.337748344370861,0.662251655629139,0.33112582781457,0.33112582781457,0.00662251655629139,0.33112582781457,0.480392156862745,96.1,0.941945405613226,91.7,0.96078431372549,92.1,0.752201313801409,92.1,0.820773136324617,91.6
"74",50,0.5,0.5,0.5,0.5,0.438050328450352,0.0619496715496477,0.0619496715496477,0.438050328450352,0.752201313801409,94.4,0.752201313801409,96.6,0.96078431372549,94.7,0.752201313801409,94.7,0.75220131380141,95.3
"75",50,0.736197782161159,0.263802217838841,0.373271483587224,0.626728516412776,0.36809889108058,0.36809889108058,0.00517259250664394,0.258629625332197,0.437703729988785,94.8,0.947470289053911,86.1,0.960784313725491,86.2,0.752201313801409,86.2,0.802796913865221,85.3
"76",49.9999999999999,0.6,0.4,0.4,0.6,0.38606607081024,0.21393392918976,0.0139339291897596,0.386066070810241,0.608608628376002,94.6,0.912912942564002,95.2,0.96078431372549,95.9,0.752201313801409,95.9,0.814272814507733,95
"77",50.0000000000007,0.6,0.4,0.6,0.4,0.53947867979117,0.0605213202088301,0.0605213202088301,0.33947867979117,0.747827832463208,94.7,0.747827832463208,97.1,0.960784313725491,95,0.752201313801411,95,0.714758531047681,95.4
"78",49.9999999999999,0.1,0.9,0.2,0.8,0.0876976370469775,0.0123023629530225,0.112302362953023,0.787697637046977,0.564146975391479,95.5,0.846220463087218,95.6,0.96078431372549,95.1,0.752201313801409,95.1,0.0941363001432815,85
"79",100,0.664451827242525,0.335548172757475,0.335548172757475,0.664451827242525,0.332225913621262,0.332225913621262,0.00332225913621263,0.332225913621262,0.49009900990099,94.9,0.970493088912851,74.4,0.98019801980198,75.2,0.818181818181818,75.2,0.90418941198214,74.7
"80",100,0.5,0.5,0.5,0.5,0.454545454545455,0.0454545454545455,0.0454545454545455,0.454545454545455,0.818181818181818,94.9,0.818181818181818,97.3,0.98019801980198,95,0.818181818181818,95,0.818181818181818,95.2
"81",100,0.738106744869968,0.261893255130032,0.371646374961024,0.628353625038976,0.369053372434984,0.369053372434984,0.00259300252603992,0.259300252603992,0.445901112571336,95.1,0.973359110256226,67.8,0.98019801980198,67.2,0.818181818181818,67.2,0.895395955773645,66.9
"82",99.9999999999997,0.6,0.4,0.4,0.6,0.392570416912525,0.207429583087475,0.00742958308747521,0.392570416912525,0.635710070468853,95.3,0.95356510570328,91.5,0.98019801980198,91.5,0.818181818181818,91.5,0.892882825269167,90.7
"83",100.000000000001,0.6,0.4,0.6,0.4,0.555555555555556,0.0444444444444442,0.0444444444444442,0.355555555555556,0.814814814814816,94.6,0.814814814814816,97.6,0.98019801980198,94.9,0.818181818181819,94.9,0.791168310742634,94.5
"84",99.9999999999998,0.1,0.9,0.2,0.8,0.0930937546967584,0.00690624530324165,0.106906245303242,0.793093754696758,0.609114622472986,95.4,0.913671933709479,92.1,0.98019801980198,93.1,0.818181818181818,93.1,0.281243358748671,85.8
"85",1,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0,94.8,0,94.9,0,94.8,0,94.8,0,95.1
"86",1,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0,94.8,0,94.9,0,94.8,0,94.8,0,95.1
"87",1,0.587333879727506,0.412666120272494,0.5,0.5,0.293666939863753,0.293666939863753,0.206333060136247,0.206333060136247,2.25511293307845e-16,95.1,2.69036630361622e-16,95.3,4.58064211256537e-16,95.1,0,95.1,0,97.7
"88",1,0.6,0.4,0.4,0.6,0.24,0.36,0.16,0.24,0,95.6,0,95.8,0,95.7,-5.78241158658936e-17,95.7,-3.10179424794511e-21,99.3
"89",1,0.6,0.4,0.6,0.4,0.36,0.24,0.24,0.16,0,94,0,94.1,0,94,5.78241158658936e-17,94,0,99.1
"90",1,0.1,0.9,0.2,0.8,0.02,0.08,0.18,0.72,-2.89120579329468e-17,95.4,-1.73472347597681e-16,96.4,-1.20466908053945e-16,95.3,-5.78241158658936e-17,95.3,0,100
"91",2,0.571428571428571,0.428571428571429,0.428571428571429,0.571428571428571,0.285714285714286,0.285714285714286,0.142857142857143,0.285714285714286,0.166666666666667,94.6,0.222222222222222,94.8,0.333333333333333,94.8,0.17157287525381,94.8,0.138734684854279,94.6
"92",2,0.5,0.5,0.5,0.5,0.292893218813452,0.207106781186547,0.207106781186547,0.292893218813452,0.17157287525381,96.1,0.17157287525381,96.2,0.333333333333334,96,0.17157287525381,96,0.17157287525381,96.6
"93",2,0.654897368819341,0.345102631180659,0.442482894803224,0.557517105196776,0.327448684409671,0.327448684409671,0.115034210393553,0.230068420787106,0.159526253575339,95,0.246675211068735,95.5,0.333333333333333,95.2,0.17157287525381,95.2,0.090640012040323,93.8
"94",2,0.6,0.4,0.4,0.6,0.278889744907202,0.321110255092798,0.121110255092798,0.278889744907202,0.162040603780009,94.8,0.243060905670013,95,0.333333333333333,94.7,0.17157287525381,94.7,0.110223411045934,93.7
"95",2,0.6,0.4,0.6,0.4,0.4,0.2,0.2,0.2,0.166666666666666,94.2,0.166666666666666,94.1,0.333333333333333,94,0.17157287525381,94,0.109504629084079,93.2
"96",2,0.1,0.9,0.2,0.8,0.0315341561573509,0.0684658438426491,0.168465843842649,0.731534156157351,0.0961179679779241,93.9,0.144176951966886,94,0.333333333333333,94.8,0.171572875253809,94.8,4.81661278198372e-19,59
"97",5,0.625,0.375,0.375,0.625,0.3125,0.3125,0.0625,0.3125,0.333333333333333,93.5,0.555555555555556,93.8,0.666666666666667,93.3,0.381966011250105,93.3,0.281525548998107,94.1
"98",5,0.5,0.5,0.5,0.5,0.345491502812526,0.154508497187474,0.154508497187474,0.345491502812526,0.381966011250105,95.2,0.381966011250105,96.1,0.666666666666667,95.1,0.381966011250105,95.1,0.381966011250105,95.2
"99",5,0.703449847472629,0.296550152527371,0.401149949157543,0.598850050842457,0.351724923736314,0.351724923736314,0.0494250254212286,0.247125127106143,0.310621830677359,94.7,0.584527763205045,94.6,0.666666666666667,95.1,0.381966011250105,95.1,0.212709173112308,94.3
"100",4.99999999999999,0.6,0.4,0.4,0.6,0.323960135530193,0.276039864469807,0.0760398644698074,0.323960135530192,0.349833898042469,94.7,0.524750847063704,94.1,0.666666666666667,94.2,0.381966011250105,94.2,0.318587783015882,94
"101",4.99999999999999,0.6,0.4,0.6,0.4,0.45,0.15,0.15,0.25,0.375,95.4,0.375,95.5,0.666666666666666,95.1,0.381966011250105,95.1,0.304973037967785,94.9
"102",5,0.1,0.9,0.2,0.8,0.05,0.05,0.15,0.75,0.25,95.2,0.375,95.4,0.666666666666666,95.8,0.381966011250105,95.8,9.94408923407856e-09,68.4
"103",10,0.645161290322581,0.354838709677419,0.354838709677419,0.645161290322581,0.32258064516129,0.32258064516129,0.032258064516129,0.32258064516129,0.409090909090909,94.9,0.743801652892562,95,0.818181818181818,95.3,0.519493853295916,95.3,0.440679593491908,94.9
"104",10,0.5,0.5,0.5,0.5,0.379873463323979,0.120126536676021,0.120126536676021,0.379873463323979,0.519493853295916,94.4,0.519493853295916,95.6,0.818181818181818,94.4,0.519493853295916,94.4,0.519493853295916,94.8
"105",10,0.721274348989881,0.278725651010119,0.385975870041315,0.614024129958685,0.360637174494941,0.360637174494941,0.0253386955463744,0.253386955463744,0.376778180873961,94.9,0.764469496760614,95.2,0.818181818181819,94.9,0.519493853295916,94.9,0.379413126250017,94.1
"106",9.99999999999998,0.6,0.4,0.4,0.6,0.350676789837936,0.249323210162064,0.0493232101620643,0.350676789837936,0.461153290991399,94.9,0.691729936487098,95,0.818181818181818,94.5,0.519493853295915,94.5,0.489958938220723,94.7
"107",9.99999999999997,0.6,0.4,0.6,0.4,0.483064725597111,0.116935274402889,0.116935274402889,0.283064725597111,0.512769689987962,93.9,0.512769689987962,95.1,0.818181818181818,94.1,0.519493853295915,94.1,0.451006542868376,95.2
"108",9.99999999999999,0.1,0.9,0.2,0.8,0.0640251199682556,0.0359748800317444,0.135974880031744,0.764025119968256,0.366875999735463,94.2,0.550313999603195,95.2,0.818181818181818,94.8,0.519493853295915,94.8,4.63835862493664e-05,74.6
"109",20,0.655737704918033,0.344262295081967,0.344262295081967,0.655737704918033,0.327868852459016,0.327868852459016,0.0163934426229508,0.327868852459016,0.452380952380952,95.4,0.861678004535147,95.1,0.904761904761905,95.7,0.634512004736886,95.7,0.627091660877676,95
"110",20,0.5,0.5,0.5,0.5,0.408628001184222,0.0913719988157784,0.0913719988157784,0.408628001184222,0.634512004736886,94.7,0.634512004736886,95.4,0.904761904761905,94.6,0.634512004736886,94.6,0.634512004736886,94.7
"111",20,0.730529683610175,0.269470316389825,0.378096761633174,0.621903238366826,0.365264841805087,0.365264841805087,0.0128319198280869,0.256638396561738,0.413919438632922,94.6,0.874055923109843,95.3,0.904761904761904,95.2,0.634512004736886,95.2,0.585875126788594,95
"112",20,0.6,0.4,0.4,0.6,0.370185295008512,0.229814704991488,0.0298147049914876,0.370185295008512,0.542438729202135,94.5,0.813658093803202,94.1,0.904761904761905,94.8,0.634512004736886,94.8,0.650483344211782,94.2
"113",19.9999999999998,0.6,0.4,0.6,0.4,0.510885725265993,0.0891142747340072,0.0891142747340072,0.310885725265993,0.628690521941637,95.6,0.628690521941637,96,0.904761904761904,95.2,0.634512004736885,95.2,0.579656924091809,94.8
"114",20,0.1,0.9,0.2,0.8,0.076142808891188,0.023857191108812,0.123857191108812,0.776142808891188,0.4678567407599,95.1,0.70178511113985,94.4,0.904761904761905,94.6,0.634512004736886,94.6,0.00460608750703576,81.6
"115",50,0.662251655629139,0.337748344370861,0.337748344370861,0.662251655629139,0.33112582781457,0.33112582781457,0.00662251655629139,0.33112582781457,0.480392156862745,95,0.941945405613226,96.2,0.96078431372549,95.9,0.752201313801409,95.9,0.820773136324617,95.6
"116",50,0.5,0.5,0.5,0.5,0.438050328450352,0.0619496715496477,0.0619496715496477,0.438050328450352,0.752201313801409,94.1,0.752201313801409,95.9,0.96078431372549,94.5,0.752201313801409,94.5,0.75220131380141,94.9
"117",50,0.736197782161159,0.263802217838841,0.373271483587224,0.626728516412776,0.36809889108058,0.36809889108058,0.00517259250664394,0.258629625332197,0.437703729988785,94.6,0.947470289053911,94.3,0.960784313725491,94.5,0.752201313801409,94.5,0.802796913865221,94.4
"118",49.9999999999999,0.6,0.4,0.4,0.6,0.38606607081024,0.21393392918976,0.0139339291897596,0.386066070810241,0.608608628376002,94.4,0.912912942564002,94.6,0.96078431372549,94.3,0.752201313801409,94.3,0.814272814507733,93.7
"119",50.0000000000007,0.6,0.4,0.6,0.4,0.53947867979117,0.0605213202088301,0.0605213202088301,0.33947867979117,0.747827832463208,94,0.747827832463208,95.9,0.960784313725491,94.3,0.752201313801411,94.3,0.714758531047681,93.6
"120",49.9999999999999,0.1,0.9,0.2,0.8,0.0876976370469775,0.0123023629530225,0.112302362953023,0.787697637046977,0.564146975391479,97.1,0.846220463087218,95.2,0.96078431372549,95.4,0.752201313801409,95.4,0.0941363001432815,89.5
"121",100,0.664451827242525,0.335548172757475,0.335548172757475,0.664451827242525,0.332225913621262,0.332225913621262,0.00332225913621263,0.332225913621262,0.49009900990099,95,0.970493088912851,91.1,0.98019801980198,91.9,0.818181818181818,91.9,0.90418941198214,91.7
"122",100,0.5,0.5,0.5,0.5,0.454545454545455,0.0454545454545455,0.0454545454545455,0.454545454545455,0.818181818181818,94.5,0.818181818181818,96.4,0.98019801980198,94.7,0.818181818181818,94.7,0.818181818181818,94.9
